jan_3digits,jancd
0,1
000,1300
001,298
002,149
003,60
004,97
005,391
006,94
007,30
008,182
009,44
010,71
011,222
012,287
013,399
014,525
015,66
016,22
017,157
018,110
019,73
020,97
021,108
022,68
023,53
024,58
025,40
026,27
027,25
028,51
029,30
030,44
031,34
032,11
033,43
034,54
035,10
036,11
037,27
038,18
039,81
040,4198
041,576
042,156
043,228
044,130
045,59
046,130
047,50
048,47
049,60
050,246
051,23
052,23
053,61
054,12
055,42
056,6
057,75
058,18
059,4
060,49
061,73
062,65
063,222
064,25
065,38
066,113
067,88
068,60
069,24
070,44
071,176
072,198
073,105
074,100
075,74
076,38
077,66
078,91
079,70
080,304
081,635
082,389
083,233
084,132
085,429
086,127
087,210
088,198
089,210
090,183
091,7
092,81
093,48
094,17
095,190
096,67
097,22
098,26
099,12
10,1
100,296
101,71
102,12
103,36
104,8
105,6
106,15
107,15
108,10
109,157
110,15
111,130
112,17
113,4
114,35
115,5
116,5
117,5
118,2
119,8
120,23
121,3
122,3
123,8
124,2
125,7
126,3
127,6
128,11
129,17
130,15
131,14
132,47
133,11
135,3
136,1
137,5
138,5
139,3
14,1
140,33
141,584
142,2
143,11
144,7
145,8
147,12
148,13
149,2
150,13
151,84
152,1
153,6
154,1
155,8
156,13
157,4
158,12
159,18
160,5
161,17
162,3
163,3
164,19
165,3
166,18
167,6
168,5
169,12
170,64
171,17
172,6
173,14
174,8
175,46
176,30
177,34
178,113
179,14
180,2
181,6
182,5
183,14
184,27
185,11
186,15
187,10
188,39
189,32
190,27
191,41
192,13
193,35
194,28
195,20
196,13
197,27
198,6
199,15
2,1
200,6176
201,756
202,26
203,533
204,27
205,73
206,21
207,18
208,22
209,7
210,1463
211,76
212,27
213,14
214,4
215,60
216,11
217,33
218,17
219,14
220,536
221,14
222,23
223,7
224,9
225,2
226,59
227,2
228,7
229,10
230,105
231,48
232,11
233,6
234,3
235,12
236,7
237,8
238,17
239,5
240,7232
241,61
242,6
243,5
244,739
245,28
246,3
247,4
248,73
249,8
25,1
250,894
251,34
252,16
253,12
254,5
255,10
256,11
257,10
258,3
259,31
26,1
260,64
261,1
262,10
263,3
264,17
265,7
266,177
267,110
268,88
269,49
270,53
271,14
272,4
273,100
274,15
275,26
276,37
277,9
278,44
279,22
280,183
281,43
282,15
283,6
284,19
285,2
286,6
287,3
289,35
29,1
290,259
291,76
292,36
293,87
294,10
295,8
296,17
298,1
299,2
30,1
300,41
301,187
302,124
303,58
304,369
305,85
306,38
307,43
308,15
309,11
310,157
311,267
312,51
313,19
314,89
315,179
316,33
317,187
318,509
319,205
321,178
322,20
323,33
324,290
325,660
326,412
327,287
328,155
329,340
33,1
330,321
331,26
332,119
333,193
334,248
335,265
336,118
337,270
338,99
339,142
340,16
341,121
342,369
343,210
344,129
345,245
346,126
347,281
348,88
349,212
350,246
351,77
352,140
353,181
354,33
355,91
356,570
357,75
358,107
359,18
360,2
361,27
364,18
365,1
366,151
369,11
370,289
371,15
372,3
374,2
375,3
376,1437
377,91
378,4
379,1
380,64
381,17
382,1
383,2
384,11
385,40
386,2
387,4
388,2
389,6
390,104
391,44
392,8
393,6
394,13
395,4
396,2
397,10
398,26
399,1
4,1
400,2661
401,215
402,109
403,174
404,169
405,192
406,218
407,149
408,105
409,130
410,247
411,21
412,15
413,21
414,35
415,12
416,5
417,12
418,5
419,12
420,32
421,9
422,13
423,5
424,15
425,16
426,56
427,10
428,283
429,12
430,72
431,42
432,210
433,14
434,9
435,3
436,12
437,19
438,15
439,9
440,11
441,8
442,9
443,9
444,3
445,12
446,52
447,30
448,10
449,2
450,55
451,5627
452,3452
453,4351
454,3915
455,154
456,7561
457,7790
458,8392
459,145
460,98
461,10
462,12
463,13
464,9
466,5
467,3
468,4
469,4
470,22
471,92
472,444
473,11
474,39
475,17
476,7
477,16
478,2
479,15
480,24
481,5
482,20
483,6
484,52
485,21
486,66
487,1
489,44
490,58091
491,90
492,1230
493,17561
494,9342
495,9896
496,8990
497,21183
498,12803
499,20606
4F2,7
5,1
50,1
500,726
501,1085
502,226
503,57
504,3
505,115
506,428
507,2
508,1
509,45
51,1
510,25
511,21
512,8
513,1
515,2
516,1
517,2
518,1
519,1
520,39
521,1
522,2
523,13
524,2
525,3
526,1
527,4
528,13
529,1
530,8
531,8
532,3
533,2
534,6
535,41
536,35
537,1
538,2
539,29
540,28
541,347
542,46
543,14
544,10
545,7
546,12
547,1
548,4
550,1
551,10
552,2
553,1
554,4
555,6
556,12
557,9
558,12
559,10
560,369
561,15
562,7
563,4
564,1
565,3
566,13
567,14
568,2
57,1
570,54
571,27
572,2
573,2
574,14
575,9
576,8
577,9
578,15
581,24
582,5
583,9
584,2
585,1
586,2
587,4
588,3
589,1
590,51
591,3
592,2
593,3
594,43
595,2
596,13
597,5
598,2
599,48
6,1
600,462
601,10
602,6
603,88
604,283
605,1
607,352
608,3
609,8
610,49
611,278
612,40
613,29
614,20
615,25
616,10
617,27
618,11
619,32
62,1
620,112
621,6
622,256
623,8
624,16
625,4
626,21
627,11
629,2
630,63
632,5
633,33
634,15
635,1
636,24
637,28
638,6
639,2
64,1
640,2
641,17
642,15
643,8
645,1
646,8
649,3
650,5
652,5
653,4
654,1
655,1
656,2
657,1
658,1
659,3
66,1
660,5
661,5
662,4
663,8
664,4
665,2
666,6
667,1
668,6
669,15
67,1
670,10
671,2
672,25
673,2
674,11
675,22
676,11
677,17
678,18
679,8
680,107
681,23
682,3
683,92
684,8
685,4
686,6
687,4
688,6
689,14
690,98
691,6
692,42
693,15
694,4
695,2
697,8
698,2
699,868
6A0,100
700,7
701,3
702,4
703,3
704,7
705,5
706,4
707,9
708,11
709,13
710,5
711,3
712,30
713,3
714,7
715,72
716,12
717,18
718,6
719,15
720,7
721,50
722,4
723,10
724,10
726,11
727,16
728,11
729,6
730,3
731,24
732,9
733,9
734,21
735,25
736,13
737,2
738,6
739,35
740,17
741,4
742,4
743,13
744,31
745,15
746,19
747,4
748,1
75,1
750,173
751,8
752,8
753,16
754,8
755,2
756,4
757,2
758,2
759,15
760,1
761,62
762,1
763,5
764,9
766,2
767,9
768,6
769,4
770,14
771,4
772,3
773,14
774,4
775,6
776,1
777,3
778,3
779,428
780,1346
781,2
782,1
783,12
784,22
785,6
786,1
787,1
788,3
789,108
79,1
790,6
791,4
793,6
795,1
796,22
798,2
799,6
80,1
800,3030
801,641
802,570
803,980
804,137
805,259
806,81
807,14
808,17
809,57
81,1
810,201
811,125
812,168
813,173
814,159
815,243
816,136
817,147
818,138
819,123
82,1
820,130
821,131
822,129
823,112
824,99
825,64
826,81
827,31
828,6
830,21
831,12
832,6
833,9
834,12
835,12
836,9
837,7
838,26
839,21
840,417
841,1892
842,503
843,1209
844,5
845,2
846,15
847,5
848,3
849,28
850,63
851,29
852,38
853,7
854,7
855,14
856,11
857,14
858,14
859,28
860,24
861,2
862,2
863,1
864,4
865,2
866,11
867,6
868,1
869,18
870,38
871,273
872,17
873,8
874,2
875,6
876,7
877,27
88,1
880,310
881,9
882,4
883,19
884,9
885,59
886,6
888,4
889,9
890,70
891,79
892,13
893,35
894,3
895,23
896,18
897,9
898,16
899,12
9,1
900,122
901,51
902,26
903,44
904,137
905,28
906,8
907,1
908,12
909,9
910,7
911,4
912,41
913,5
914,4
915,6
916,16
917,1
918,1
919,1
92,1
920,260
921,30
922,11
923,3
924,52
925,10
926,10
927,9
928,26
929,18
93,1
930,198
931,657
932,241
933,163
934,70
935,20
936,9
937,8
938,5
939,6
940,11
941,486
942,235
943,10
944,24
945,5
946,2
947,15
948,9
949,8
95,1
950,11
951,17
952,20
953,10
954,5
955,4
956,6
957,2
958,1
959,3
960,2
961,1
962,8
963,10
964,68
965,9
966,11
967,27
968,2
97,1
970,34
971,13
972,6
973,8
974,5
975,5
976,1
978,1
979,8
98,1
981,1
983,6
984,16
985,2
986,6
987,8
988,5
989,4
990,21
991,158
992,11
993,12
994,10
995,14
996,3
997,1
998,3
999,52
A51,11
A53,12
A59,4
A60,16
A61,16
A68,36
A78,26
A79,19
A88,6
A97,3
AAA,335
BUN,6
D04,141
DAI,15
DKI,22
E30,14
E34,33
E35,6
E36,6
E38,6
E41,5
E47,1
E50,3
E63,2
E65,20
E66,13
F00,258
H84,5
H90,21
H97,18
HAN,19
J00,18
J08,13
J09,54
J10,22
J15,1
J18,1
J26,1
J27,17
J28,21
J29,5
J30,94
J31,1
J36,2
J37,10
J47,30
J48,11
J58,4
J65,22
J66,25
J67,41
J69,47
J81,11
J83,10
J84,29
J86,2
J92,27
J93,72
J97,11
J98,1
K29,1587
K38,3
K81,14
K89,3
KEI,27
KIN,46
M40,2
MAN,10
N41,2
N42,22
N67,19
N85,9
N86,3
N87,9
N88,3
P00,2
P01,23
P02,16
P07,15
P08,8
P09,30
P10,11
P11,9
P12,18
P13,4
P16,11
P17,13
P19,1
P20,31
P22,8
P23,17
P24,52
P25,5
P27,23
P28,18
P30,4
P39,12
P40,13
P42,12
P43,36
P44,19
P52,2
P61,16
P63,7
P64,6
P65,14
P66,5
P67,14
P68,13
P69,13
P70,14
P71,13
P72,9
P73,5
P74,11
P76,10
P82,17
P90,2
P96,7
SUN,52
TAK,18
TKS,3
TOU,5
U08,8
W00,13
W09,1
W11,36
W33,2
W37,4
W38,1
W39,2
W43,2
W44,2
W57,18
W58,15
W59,1
W60,8
W61,82
Y00,9
Y06,2
Y08,6
YZ0,1
YZ2,7
YZ8,2
YZ9,1
bic,3
ck0,6
dai,1
