jan_country,jancd,itemnm,scat1cd,scat1nm,scat2cd,scat2nm,scat3cd,scat3nm,scat4cd,scat4nm,scatnm,makercd,makernm,itemkikaku
0,1,1,1,1,1,1,1,1,0,0,1,1,1,1
000,1300,1300,1300,1300,1300,1300,1297,1297,170,170,1300,655,616,1300
001,298,298,298,298,298,298,281,281,1,1,298,144,88,298
002,149,149,149,149,149,149,147,147,2,2,149,60,48,149
003,60,60,60,60,60,60,60,60,1,1,60,17,15,60
004,97,97,97,97,97,97,97,97,4,4,97,39,27,97
005,391,391,391,391,391,391,386,386,4,4,391,214,82,391
006,94,94,94,94,94,94,94,94,7,7,94,56,35,94
007,30,30,30,30,30,30,30,30,1,1,30,13,13,30
008,182,182,182,182,182,182,168,168,3,3,182,96,83,182
009,44,40,44,44,44,44,43,43,4,4,44,29,29,44
010,71,71,71,71,71,71,71,71,5,5,71,30,27,71
011,222,222,222,222,222,222,222,222,12,12,222,93,88,222
012,287,287,287,287,287,287,287,287,7,7,287,117,113,287
013,399,399,399,399,399,399,398,398,2,2,399,36,32,399
014,525,525,525,525,525,525,525,525,1,1,525,17,17,525
015,66,66,66,66,66,66,66,66,0,0,66,15,15,66
016,22,22,22,22,22,22,22,22,0,0,22,5,2,22
017,157,157,157,157,157,157,156,156,3,3,157,32,28,157
018,110,110,110,110,110,110,110,110,4,4,110,50,50,110
019,73,73,73,73,73,73,73,73,12,12,73,41,39,73
020,97,97,97,97,97,97,96,96,0,0,97,16,10,97
021,108,108,108,108,108,108,107,107,1,1,108,28,28,108
022,68,68,68,68,68,68,68,68,2,2,68,32,30,68
023,53,53,53,53,53,53,52,52,0,0,53,20,16,53
024,58,58,58,58,58,58,58,58,1,1,58,21,18,58
025,40,40,40,40,40,40,40,40,6,6,40,25,22,40
026,27,27,27,27,25,25,24,24,3,3,27,10,7,27
027,25,25,25,25,25,25,18,18,0,0,25,16,8,25
028,51,51,51,51,51,51,51,51,7,7,51,17,16,51
029,30,30,30,30,30,30,30,30,0,0,30,23,21,30
030,44,44,44,44,44,44,44,44,0,0,44,29,27,44
031,34,34,34,34,34,34,33,33,1,1,34,6,6,34
032,11,11,11,11,11,11,11,11,3,3,11,8,8,11
033,43,43,43,43,43,43,43,43,1,1,43,25,25,43
034,54,54,54,54,54,54,53,53,2,2,54,39,38,54
035,10,10,10,10,10,10,10,10,0,0,10,5,5,10
036,11,11,11,11,9,9,9,9,1,1,11,3,3,11
037,27,27,27,27,27,27,27,27,0,0,27,5,5,27
038,18,18,18,18,18,18,18,18,1,1,18,12,11,18
039,81,80,81,81,81,81,81,81,7,7,81,66,47,81
040,4198,4099,4198,4198,4184,4184,4081,4081,274,274,4198,1495,1372,4198
041,576,576,576,576,576,576,575,575,20,20,576,174,173,576
042,156,156,156,156,156,156,155,155,0,0,156,38,29,156
043,228,228,228,228,228,228,228,228,15,15,228,134,40,228
044,130,130,130,130,130,130,129,129,19,19,130,52,50,130
045,59,59,59,59,59,59,59,59,2,2,59,25,24,59
046,130,130,130,130,130,130,130,130,2,2,130,58,53,130
047,50,50,50,50,50,50,50,50,0,0,50,29,28,50
048,47,47,47,47,47,47,47,47,1,1,47,25,22,47
049,60,60,60,60,60,60,57,57,0,0,60,18,15,60
050,246,246,246,246,246,246,246,246,1,1,246,205,21,246
051,23,23,23,23,23,23,23,23,0,0,23,12,12,23
052,23,23,23,23,23,23,23,23,0,0,23,11,10,23
053,61,61,61,61,61,61,61,61,0,0,61,48,48,61
054,12,12,12,12,12,12,11,11,0,0,12,3,1,12
055,42,42,42,42,42,42,39,39,0,0,42,18,16,42
056,6,6,6,6,6,6,6,6,0,0,6,1,1,6
057,75,75,75,75,75,75,75,75,0,0,75,75,73,75
058,18,18,18,18,18,18,18,18,3,3,18,8,7,18
059,4,4,4,4,4,4,4,4,0,0,4,1,1,4
060,49,49,49,49,49,49,49,49,0,0,49,18,16,49
061,73,73,73,73,73,73,73,73,0,0,73,40,39,73
062,65,65,65,65,65,65,65,65,1,1,65,45,44,65
063,222,222,222,222,222,222,222,222,0,0,222,47,41,222
064,25,25,25,25,25,25,25,25,0,0,25,17,16,25
065,38,38,38,38,38,38,38,38,0,0,38,27,27,38
066,113,113,113,113,113,113,113,113,12,12,113,79,60,113
067,88,88,88,88,88,88,88,88,3,3,88,57,52,88
068,60,60,60,60,60,60,60,60,2,2,60,36,31,60
069,24,24,24,24,24,24,23,23,0,0,24,13,13,24
070,44,44,44,44,44,44,44,44,0,0,44,21,20,44
071,176,176,176,176,176,176,174,174,0,0,176,112,105,176
072,198,198,198,198,198,198,198,198,0,0,198,143,140,198
073,105,105,105,105,105,105,103,103,0,0,105,58,53,105
074,100,98,100,100,100,100,100,100,0,0,100,65,65,100
075,74,74,74,74,74,74,73,73,0,0,74,52,52,74
076,38,38,38,38,38,38,38,38,0,0,38,29,29,38
077,66,66,66,66,66,66,66,66,0,0,66,55,52,66
078,91,91,91,91,91,91,90,90,0,0,91,73,70,91
079,70,70,70,70,70,70,70,70,0,0,70,41,40,70
080,304,304,304,304,304,304,301,301,0,0,304,232,214,304
081,635,634,635,635,635,635,629,629,2,2,635,340,318,635
082,389,389,389,389,389,389,389,389,2,2,389,140,131,389
083,233,233,233,233,233,233,229,229,0,0,233,153,146,233
084,132,132,132,132,132,132,130,130,0,0,132,79,74,132
085,429,429,429,429,429,429,425,425,0,0,429,287,265,429
086,127,127,127,127,127,127,127,127,0,0,127,92,74,127
087,210,210,210,210,208,208,208,208,0,0,210,156,140,210
088,198,198,198,198,198,198,197,197,0,0,198,146,129,198
089,210,210,210,210,209,209,207,207,0,0,210,141,134,210
090,183,183,183,183,183,183,183,183,0,0,183,15,7,183
091,7,7,7,7,7,7,6,6,0,0,7,2,2,7
092,81,81,81,81,81,81,81,81,0,0,81,73,52,81
093,48,48,48,48,48,48,48,48,0,0,48,26,21,48
094,17,17,17,17,17,17,17,17,0,0,17,11,11,17
095,190,190,190,190,190,190,190,190,0,0,190,40,38,190
096,67,67,67,67,66,66,66,66,9,9,67,51,44,67
097,22,22,22,22,22,22,22,22,8,8,22,18,18,22
098,26,26,26,26,26,26,26,26,0,0,26,18,17,26
099,12,12,12,12,12,12,12,12,0,0,12,2,2,12
10,1,1,1,1,1,1,1,1,0,0,1,1,1,1
100,296,296,296,296,296,296,291,291,13,13,296,127,127,296
101,71,70,71,71,71,71,71,71,1,1,71,45,45,71
102,12,11,12,12,12,12,11,11,0,0,12,8,8,12
103,36,36,36,36,36,36,36,36,16,16,36,28,27,36
104,8,8,8,8,8,8,8,8,0,0,8,4,4,8
105,6,6,6,6,6,6,6,6,0,0,6,3,3,6
106,15,15,15,15,15,15,15,15,0,0,15,5,5,15
107,15,15,15,15,15,15,15,15,1,1,15,5,3,15
108,10,10,10,10,10,10,10,10,1,1,10,7,7,10
109,157,156,157,157,157,157,157,157,6,6,157,35,26,157
110,15,15,15,15,15,15,14,14,0,0,15,10,10,15
111,130,130,130,130,130,130,129,129,0,0,130,32,30,130
112,17,17,17,17,17,17,14,14,0,0,17,8,6,17
113,4,4,4,4,4,4,4,4,0,0,4,3,3,4
114,35,35,35,35,35,35,35,35,0,0,35,10,10,35
115,5,5,5,5,5,5,5,5,1,1,5,2,2,5
116,5,5,5,5,5,5,5,5,3,3,5,3,3,5
117,5,5,5,5,5,5,5,5,1,1,5,5,5,5
118,2,2,2,2,2,2,2,2,0,0,2,2,2,2
119,8,8,8,8,8,8,8,8,0,0,8,4,4,8
120,23,23,23,23,23,23,22,22,0,0,23,11,11,23
121,3,3,3,3,3,3,3,3,2,2,3,0,0,3
122,3,3,3,3,3,3,3,3,0,0,3,3,3,3
123,8,8,8,8,8,8,5,5,0,0,8,0,0,8
124,2,2,2,2,2,2,2,2,0,0,2,2,2,2
125,7,7,7,7,7,7,7,7,2,2,7,6,6,7
126,3,3,3,3,3,3,3,3,1,1,3,2,2,3
127,6,6,6,6,6,6,6,6,0,0,6,2,2,6
128,11,11,11,11,11,11,11,11,0,0,11,2,2,11
129,17,17,17,17,17,17,17,17,0,0,17,4,4,17
130,15,15,15,15,15,15,15,15,2,2,15,5,4,15
131,14,14,14,14,14,14,14,14,0,0,14,0,0,14
132,47,47,47,47,47,47,46,46,3,3,47,10,10,47
133,11,11,11,11,11,11,11,11,0,0,11,0,0,11
135,3,3,3,3,3,3,3,3,0,0,3,0,0,3
136,1,1,1,1,1,1,1,1,0,0,1,0,0,1
137,5,5,5,5,5,5,5,5,0,0,5,3,3,5
138,5,5,5,5,5,5,5,5,0,0,5,1,1,5
139,3,3,3,3,3,3,3,3,0,0,3,2,2,3
14,1,1,1,1,1,1,1,1,0,0,1,1,1,1
140,33,33,33,33,33,33,33,33,0,0,33,22,22,33
141,584,584,584,584,584,584,584,584,267,267,584,500,495,584
142,2,2,2,2,2,2,2,2,0,0,2,2,2,2
143,11,11,11,11,11,11,11,11,0,0,11,9,9,11
144,7,7,7,7,7,7,7,7,0,0,7,2,2,7
145,8,8,8,8,8,8,8,8,0,0,8,3,3,8
147,12,12,12,12,12,12,12,12,0,0,12,2,2,12
148,13,13,13,13,13,13,13,13,0,0,13,5,5,13
149,2,2,2,2,2,2,2,2,0,0,2,0,0,2
150,13,13,13,13,13,13,13,13,0,0,13,2,2,13
151,84,84,84,84,84,84,80,80,0,0,84,0,0,84
152,1,1,1,1,1,1,1,1,0,0,1,0,0,1
153,6,6,6,6,6,6,6,6,0,0,6,1,1,6
154,1,1,1,1,1,1,1,1,0,0,1,0,0,1
155,8,8,8,8,8,8,8,8,1,1,8,2,2,8
156,13,13,13,13,13,13,13,13,1,1,13,5,5,13
157,4,4,4,4,4,4,4,4,0,0,4,1,1,4
158,12,12,12,12,12,12,11,11,0,0,12,8,8,12
159,18,17,18,18,18,18,18,18,0,0,18,5,5,18
160,5,5,5,5,5,5,5,5,0,0,5,1,1,5
161,17,17,17,17,17,17,17,17,0,0,17,8,8,17
162,3,3,3,3,3,3,3,3,0,0,3,0,0,3
163,3,3,3,3,3,3,3,3,0,0,3,1,1,3
164,19,19,19,19,19,19,19,19,8,8,19,10,10,19
165,3,3,3,3,3,3,3,3,0,0,3,1,1,3
166,18,18,18,18,18,18,18,18,3,3,18,6,6,18
167,6,6,6,6,6,6,6,6,0,0,6,1,1,6
168,5,5,5,5,5,5,5,5,0,0,5,3,3,5
169,12,12,12,12,12,12,12,12,8,8,12,12,12,12
170,64,64,64,64,64,64,64,64,2,2,64,13,13,64
171,17,17,17,17,17,17,17,17,6,6,17,13,13,17
172,6,6,6,6,6,6,6,6,1,1,6,4,4,6
173,14,14,14,14,14,14,14,14,6,6,14,9,9,14
174,8,8,8,8,8,8,8,8,3,3,8,4,4,8
175,46,46,46,46,46,46,46,46,4,4,46,23,23,46
176,30,30,30,30,30,30,30,30,10,10,30,29,29,30
177,34,34,34,34,34,34,34,34,2,2,34,5,5,34
178,113,113,113,113,113,113,113,113,7,7,113,75,73,113
179,14,14,14,14,14,14,14,14,3,3,14,8,8,14
180,2,2,2,2,2,2,2,2,0,0,2,0,0,2
181,6,6,6,6,6,6,6,6,0,0,6,5,4,6
182,5,5,5,5,5,5,5,5,1,1,5,1,1,5
183,14,14,14,14,14,14,14,14,8,8,14,8,8,14
184,27,27,27,27,27,27,27,27,17,17,27,23,23,27
185,11,11,11,11,11,11,11,11,4,4,11,7,7,11
186,15,15,15,15,15,15,15,15,6,6,15,7,7,15
187,10,10,10,10,10,10,10,10,4,4,10,9,9,10
188,39,39,39,39,39,39,39,39,0,0,39,15,12,39
189,32,32,32,32,32,32,32,32,8,8,32,26,26,32
190,27,27,27,27,27,27,27,27,6,6,27,11,11,27
191,41,41,41,41,41,41,41,41,0,0,41,31,4,41
192,13,13,13,13,13,13,13,13,1,1,13,1,1,13
193,35,35,35,35,35,35,35,35,5,5,35,18,18,35
194,28,28,28,28,28,28,28,28,13,13,28,28,28,28
195,20,20,20,20,20,20,20,20,4,4,20,17,17,20
196,13,13,13,13,13,13,13,13,0,0,13,10,10,13
197,27,27,27,27,27,27,27,27,2,2,27,16,16,27
198,6,6,6,6,6,6,6,6,0,0,6,2,2,6
199,15,15,15,15,15,15,15,15,2,2,15,11,11,15
2,1,1,1,1,1,1,1,1,0,0,1,0,0,1
200,6176,6171,6176,6176,6146,6146,6125,6125,373,373,6176,2480,2064,6176
201,756,731,756,756,753,753,734,734,44,44,756,344,333,756
202,26,26,26,26,26,26,26,26,4,4,26,16,16,26
203,533,533,533,533,533,533,533,533,8,8,533,85,76,533
204,27,27,27,27,27,27,27,27,6,6,27,25,25,27
205,73,73,73,73,73,73,73,73,6,6,73,38,38,73
206,21,21,21,21,20,20,17,17,0,0,21,2,2,21
207,18,18,18,18,18,18,17,17,0,0,18,11,11,18
208,22,22,22,22,22,22,22,22,10,10,22,15,14,22
209,7,7,7,7,7,7,6,6,0,0,7,5,5,7
210,1463,1425,1463,1463,1463,1463,1445,1445,106,106,1463,672,592,1463
211,76,76,76,76,76,76,76,76,5,5,76,49,46,76
212,27,27,27,27,27,27,27,27,0,0,27,6,6,27
213,14,14,14,14,14,14,14,14,1,1,14,3,3,14
214,4,4,4,4,4,4,4,4,0,0,4,0,0,4
215,60,60,60,60,60,60,60,60,3,3,60,17,17,60
216,11,11,11,11,11,11,11,11,1,1,11,10,9,11
217,33,33,33,33,33,33,33,33,18,18,33,26,24,33
218,17,17,17,17,17,17,17,17,1,1,17,3,3,17
219,14,14,14,14,12,12,6,6,0,0,14,0,0,14
220,536,535,536,536,536,536,533,533,12,12,536,170,167,536
221,14,14,14,14,12,12,12,12,1,1,14,7,7,14
222,23,23,23,23,23,23,23,23,1,1,23,18,18,23
223,7,7,7,7,7,7,7,7,1,1,7,2,2,7
224,9,9,9,9,9,9,9,9,2,2,9,9,9,9
225,2,2,2,2,2,2,2,2,0,0,2,1,1,2
226,59,59,59,59,59,59,59,59,1,1,59,11,11,59
227,2,2,2,2,2,2,2,2,0,0,2,0,0,2
228,7,7,7,7,7,7,7,7,0,0,7,7,7,7
229,10,10,10,10,9,9,9,9,1,1,10,3,3,10
230,105,97,105,105,105,105,104,104,3,3,105,14,14,105
231,48,48,48,48,47,47,47,47,1,1,48,3,2,48
232,11,11,11,11,11,11,11,11,0,0,11,6,5,11
233,6,6,6,6,6,6,6,6,0,0,6,4,4,6
234,3,3,3,3,3,3,3,3,3,3,3,3,3,3
235,12,12,12,12,12,12,12,12,7,7,12,11,11,12
236,7,7,7,7,7,7,7,7,1,1,7,6,6,7
237,8,8,8,8,8,8,8,8,0,0,8,7,7,8
238,17,15,17,17,17,17,17,17,1,1,17,7,7,17
239,5,5,5,5,5,5,5,5,0,0,5,0,0,5
240,7232,7232,7232,7232,7231,7231,7228,7228,1221,1221,7232,3202,3055,7232
241,61,61,61,61,61,61,58,58,1,1,61,3,2,61
242,6,6,6,6,6,6,6,6,2,2,6,4,4,6
243,5,5,5,5,5,5,5,5,0,0,5,1,1,5
244,739,739,739,739,739,739,739,739,18,18,739,258,258,739
245,28,28,28,28,28,28,28,28,4,4,28,17,17,28
246,3,3,3,3,3,3,3,3,1,1,3,2,2,3
247,4,4,4,4,4,4,4,4,1,1,4,4,4,4
248,73,73,73,73,71,71,69,69,6,6,73,22,22,73
249,8,8,8,8,8,8,8,8,4,4,8,6,6,8
25,1,1,1,1,1,1,1,1,0,0,1,1,1,1
250,894,894,894,894,894,894,891,891,12,12,894,293,280,894
251,34,34,34,34,34,34,33,33,6,6,34,31,31,34
252,16,16,16,16,16,16,16,16,10,10,16,14,14,16
253,12,11,12,12,12,12,12,12,2,2,12,11,11,12
254,5,5,5,5,5,5,5,5,1,1,5,2,2,5
255,10,10,10,10,10,10,10,10,2,2,10,8,8,10
256,11,11,11,11,11,11,11,11,0,0,11,4,4,11
257,10,10,10,10,10,10,10,10,8,8,10,9,8,10
258,3,3,3,3,3,3,3,3,0,0,3,1,1,3
259,31,31,31,31,31,31,31,31,0,0,31,8,8,31
26,1,1,1,1,1,1,1,1,0,0,1,1,1,1
260,64,64,64,64,64,64,64,64,3,3,64,40,10,64
261,1,1,1,1,1,1,1,1,1,1,1,1,1,1
262,10,10,10,10,10,10,9,9,2,2,10,8,8,10
263,3,3,3,3,3,3,3,3,0,0,3,3,3,3
264,17,17,17,17,17,17,17,17,0,0,17,7,7,17
265,7,7,7,7,7,7,6,6,0,0,7,0,0,7
266,177,177,177,177,177,177,177,177,14,14,177,77,50,177
267,110,110,110,110,110,110,110,110,14,14,110,73,36,110
268,88,87,88,88,88,88,88,88,8,8,88,57,26,88
269,49,49,49,49,49,49,49,49,0,0,49,29,27,49
270,53,53,53,53,53,53,52,52,0,0,53,4,4,53
271,14,14,14,14,14,14,14,14,0,0,14,9,9,14
272,4,4,4,4,4,4,4,4,0,0,4,2,2,4
273,100,100,100,100,100,100,99,99,0,0,100,15,15,100
274,15,15,15,15,15,15,15,15,1,1,15,15,14,15
275,26,26,26,26,26,26,26,26,12,12,26,23,20,26
276,37,37,37,37,37,37,30,30,14,14,37,30,30,37
277,9,9,9,9,9,9,9,9,0,0,9,2,2,9
278,44,44,44,44,44,44,43,43,12,12,44,42,41,44
279,22,22,22,22,22,22,22,22,16,16,22,22,22,22
280,183,183,183,183,183,183,172,172,11,11,183,26,26,183
281,43,43,43,43,43,43,42,42,5,5,43,28,28,43
282,15,15,15,15,15,15,14,14,2,2,15,13,12,15
283,6,6,6,6,6,6,6,6,0,0,6,3,3,6
284,19,19,19,19,19,19,19,19,3,3,19,18,18,19
285,2,2,2,2,2,2,2,2,0,0,2,2,2,2
286,6,6,6,6,6,6,6,6,2,2,6,3,3,6
287,3,3,3,3,3,3,3,3,2,2,3,3,3,3
289,35,35,35,35,35,35,35,35,6,6,35,12,11,35
29,1,1,1,1,1,1,1,1,0,0,1,1,1,1
290,259,259,259,259,258,258,256,256,9,9,259,88,88,259
291,76,75,76,76,76,76,73,73,1,1,76,40,40,76
292,36,36,36,36,36,36,36,36,0,0,36,19,19,36
293,87,86,87,87,87,87,86,86,20,20,87,38,38,87
294,10,10,10,10,10,10,10,10,6,6,10,8,7,10
295,8,8,8,8,8,8,8,8,2,2,8,8,8,8
296,17,17,17,17,17,17,17,17,0,0,17,14,14,17
298,1,1,1,1,1,1,1,1,0,0,1,0,0,1
299,2,2,2,2,2,2,2,2,0,0,2,0,0,2
30,1,1,1,1,1,1,1,1,0,0,1,1,1,1
300,41,41,41,41,41,41,41,41,0,0,41,15,10,41
301,187,187,187,187,185,185,184,184,0,0,187,127,119,187
302,124,124,124,124,124,124,124,124,3,3,124,102,91,124
303,58,58,58,58,58,58,57,57,0,0,58,37,30,58
304,369,368,369,369,369,369,368,368,1,1,369,260,226,369
305,85,85,85,85,85,85,85,85,0,0,85,26,25,85
306,38,38,38,38,38,38,38,38,18,18,38,29,25,38
307,43,43,43,43,43,43,39,39,0,0,43,11,9,43
308,15,15,15,15,15,15,15,15,2,2,15,11,11,15
309,11,11,11,11,11,11,11,11,7,7,11,9,9,11
310,157,157,157,157,157,157,157,157,7,7,157,121,111,157
311,267,267,267,267,266,266,265,265,36,36,267,186,182,267
312,51,51,51,51,51,51,51,51,9,9,51,33,32,51
313,19,19,19,19,19,19,10,10,0,0,19,6,6,19
314,89,89,89,89,89,89,89,89,0,0,89,61,56,89
315,179,179,179,179,179,179,179,179,0,0,179,126,121,179
316,33,33,33,33,33,33,33,33,2,2,33,24,23,33
317,187,186,187,187,186,186,186,186,0,0,187,117,111,187
318,509,509,509,509,509,509,506,506,7,7,509,363,350,509
319,205,205,205,205,205,205,202,202,18,18,205,121,106,205
321,178,178,178,178,178,178,178,178,3,3,178,138,127,178
322,20,20,20,20,20,20,20,20,3,3,20,13,13,20
323,33,33,33,33,33,33,33,33,0,0,33,21,20,33
324,290,290,290,290,290,290,288,288,0,0,290,187,164,290
325,660,660,660,660,660,660,648,648,3,3,660,408,356,660
326,412,412,412,412,411,411,407,407,13,13,412,243,228,412
327,287,286,287,287,287,287,283,283,0,0,287,152,119,287
328,155,155,155,155,155,155,153,153,0,0,155,70,61,155
329,340,340,340,340,340,340,335,335,0,0,340,185,164,340
33,1,1,1,1,1,1,1,1,0,0,1,0,0,1
330,321,321,321,321,321,321,310,310,0,0,321,214,197,321
331,26,26,26,26,26,26,26,26,11,11,26,20,20,26
332,119,119,119,119,119,119,115,115,1,1,119,60,55,119
333,193,193,193,193,193,193,193,193,0,0,193,110,95,193
334,248,248,248,248,248,248,247,247,3,3,248,84,78,248
335,265,265,265,265,265,265,260,260,1,1,265,175,158,265
336,118,118,118,118,118,118,118,118,10,10,118,80,74,118
337,270,269,270,270,270,270,267,267,0,0,270,154,135,270
338,99,99,99,99,99,99,97,97,0,0,99,41,32,99
339,142,142,142,142,142,142,141,141,6,6,142,72,63,142
340,16,16,16,16,16,16,16,16,2,2,16,10,10,16
341,121,120,121,121,121,121,119,119,20,20,121,72,69,121
342,369,369,369,369,369,369,354,354,2,2,369,243,230,369
343,210,210,210,210,210,210,206,206,5,5,210,100,87,210
344,129,128,129,129,129,129,127,127,0,0,129,59,53,129
345,245,245,245,245,245,245,236,236,2,2,245,114,101,245
346,126,126,126,126,126,126,125,125,2,2,126,67,51,126
347,281,281,281,281,281,281,272,272,0,0,281,161,153,281
348,88,88,88,88,88,88,87,87,0,0,88,47,46,88
349,212,212,212,212,212,212,209,209,2,2,212,97,91,212
350,246,246,246,246,246,246,244,244,0,0,246,120,101,246
